<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230815,180000,177.8000000
GAZP,60,20230815,190000,176.1100000
GAZP,60,20230815,200000,176.6400000
GAZP,60,20230815,210000,176.5300000
GAZP,60,20230815,220000,176.5300000
GAZP,60,20230815,230000,175.5800000
GAZP,60,20230816,000000,176.1600000
GAZP,60,20230816,110000,175.4100000
GAZP,60,20230816,120000,174.3900000
GAZP,60,20230816,130000,173.8500000
GAZP,60,20230816,140000,173.6400000
GAZP,60,20230816,150000,173.1600000
GAZP,60,20230816,160000,174.2600000
GAZP,60,20230816,170000,174.3700000
GAZP,60,20230816,180000,174.6600000
GAZP,60,20230816,190000,173.8200000
GAZP,60,20230816,200000,174.3700000
GAZP,60,20230816,210000,174.1100000
GAZP,60,20230816,220000,173.8700000
GAZP,60,20230816,230000,174.1200000
GAZP,60,20230817,000000,174.1400000
GAZP,60,20230817,110000,174.4300000
GAZP,60,20230817,120000,174.7200000
GAZP,60,20230817,130000,173.3300000
GAZP,60,20230817,140000,173.9200000
GAZP,60,20230817,150000,173.8900000
GAZP,60,20230817,160000,173.5600000
GAZP,60,20230817,170000,173.6500000
GAZP,60,20230817,180000,173.4000000
GAZP,60,20230817,190000,173.7500000
GAZP,60,20230817,200000,173.7100000
GAZP,60,20230817,210000,173.7100000
GAZP,60,20230817,220000,173.8300000
GAZP,60,20230817,230000,173.9200000
GAZP,60,20230818,000000,174.1400000
GAZP,60,20230818,110000,173.4700000
GAZP,60,20230818,120000,173.6600000
GAZP,60,20230818,130000,173.7900000
GAZP,60,20230818,140000,173.9800000
GAZP,60,20230818,150000,174.0500000
GAZP,60,20230818,160000,173.7700000
GAZP,60,20230818,170000,173.8200000
GAZP,60,20230818,180000,174.1900000
GAZP,60,20230818,190000,175.2000000
GAZP,60,20230818,200000,174.8200000
GAZP,60,20230818,210000,175.1700000
GAZP,60,20230818,220000,175.2300000
GAZP,60,20230818,230000,175.6000000
GAZP,60,20230819,000000,175.4800000
GAZP,60,20230821,110000,176.5300000
GAZP,60,20230821,120000,176.2000000
GAZP,60,20230821,130000,176.5400000
GAZP,60,20230821,140000,177.1600000
GAZP,60,20230821,150000,177.0500000
GAZP,60,20230821,160000,177.2300000
GAZP,60,20230821,170000,176.3400000
GAZP,60,20230821,180000,176.4900000
GAZP,60,20230821,190000,176.2500000
GAZP,60,20230821,200000,176.3200000
GAZP,60,20230821,210000,176.3000000
GAZP,60,20230821,220000,176.4000000
GAZP,60,20230821,230000,176.3800000
GAZP,60,20230822,000000,176.3600000
GAZP,60,20230822,110000,175.9900000
GAZP,60,20230822,120000,175.9500000
GAZP,60,20230822,130000,175.8700000
GAZP,60,20230822,140000,175.6800000
GAZP,60,20230822,150000,175.6200000
GAZP,60,20230822,160000,176.1600000
GAZP,60,20230822,170000,175.7200000
GAZP,60,20230822,180000,175.9400000
GAZP,60,20230822,190000,176.2500000
GAZP,60,20230822,200000,176.0900000
GAZP,60,20230822,210000,176.1600000
